Participant,Experiment_Duration,Date,Time,Browser,Mobile,Screen_Width,Screen_Height,Language,Source,Age,Gender,Country,Nationality,PID5_Duration,PID5_Order,PID5_Disinhibition_1,PID5_Disinhibition_2,PID5_Disinhibition_3,PID5_Detachment_4,PID5_Disinhibition_5,PID5_Disinhibition_6,PID5_Psychoticism_7,PID5_NegativeAffect_8,PID5_NegativeAffect_9,PID5_NegativeAffect_10,PID5_NegativeAffect_11,PID5_Psychoticism_12,PID5_Detachment_13,PID5_Detachment_14,PID5_NegativeAffect_15,PID5_Detachment_16,PID5_Antagonism_17,PID5_Detachment_18,PID5_Antagonism_19,PID5_Antagonism_20,PID5_Psychoticism_21,PID5_Antagonism_22,PID5_Psychoticism_23,PID5_Psychoticism_24,PID5_Antagonism_25,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R
qbb6xqvqpv,28.301283333333334,05/10/2024,11:37:58,chrome,False,1920.0,953.0,Russian,yana1,33.0,Male,Russia,Russian,4.1495500000000005,1,2,3,2,1,1,1,1,1,1,2,2,1,0,0,1,0,2,2,2,2,2,2,0,1,2,2.6661116666674616,2,0.89,0.28,0.28,0.74,1.0,0.7,0.21,0.65,0.29,0.3,0.6,0.63,0.0,0.76,0.22,0.32,0.07,0.58,0.31,0.67,0.0,0.68,0.85,0.23
23pubcvhh0,179.63683333333333,23/09/2024,15:30:39,chrome,False,1280.0,639.0,Russian,yana1,29.0,Female,Russia,Russian,1.8600833333333333,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0.8676933333337308,2,0.59,0.66,0.26,0.4,0.62,0.67,0.69,0.38,0.68,0.69,0.82,0.75,0.37,0.64,1.0,0.75,0.28,0.76,0.32,0.58,0.67,0.59,0.37,0.61
by5pqkey2w,27.327316666666665,23/09/2024,17:57:23,chrome,False,1920.0,919.0,Russian,yana1,27.0,Female,Russia,Russian,5.1154166666666665,1,2,2,2,1,0,0,1,1,1,1,2,1,3,0,1,1,0,0,2,1,0,2,0,0,2,1.5215633333325385,2,0.83,0.95,0.67,0.69,0.83,0.91,0.91,0.18,0.23,0.94,0.49,0.75,0.13,0.95,0.92,0.14,0.74,0.88,0.21,0.51,0.33,0.13,0.28,0.73
356t3x57kk,23.280700000000003,23/09/2024,14:35:28,safari,False,1175.0,743.0,Russian,yana1,31.0,Female,Russia,Russian,2.772466666666667,1,2,2,2,2,1,0,0,3,2,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1.1283999999999998,2,0.28,0.8,0.02,0.63,0.65,0.88,0.36,0.28,0.3,0.75,0.85,0.55,0.46,0.63,0.32,0.67,0.37,0.39,0.39,0.4,0.36,0.96,0.92,0.43
0xdqd1owou,27.1844,18/09/2024,00:04:32,opera,False,1918.0,955.0,Russian,yana1,30.0,Female,Germany,Russian,2.9399666666666664,1,0,1,1,2,0,1,0,3,2,1,1,0,0,0,2,1,0,1,2,1,0,0,0,1,0,1.413428333334128,2,0.24,0.85,0.26,0.72,0.93,1.0,0.25,0.16,0.0,0.64,0.04,0.96,0.0,0.68,0.24,0.83,0.25,0.65,0.2,0.27,0.09,0.0,0.39,0.68
4v5wnz20ou,26.049783333333334,14/09/2024,22:20:47,chrome,False,1440.0,778.0,Russian,yana1,32.0,Female,Russia,Russian,2.7800000000000002,2,2,2,3,0,2,2,2,3,3,3,1,3,3,0,2,2,0,3,1,0,1,0,3,3,0,2.9357416666666665,1,0.0,0.6,0.0,0.99,0.99,0.76,0.5,0.22,0.71,0.32,0.13,0.64,0.05,0.72,0.01,1.0,0.0,0.0,0.49,0.0,0.42,1.0,0.12,0.0
d1p3uuu95n,21.046833333333332,14/09/2024,20:34:29,safari,False,1470.0,747.0,Russian,yana1,27.0,Male,Georgia,Ukrainian,3.1942166666666667,1,2,3,1,2,2,2,2,1,1,1,0,0,2,0,2,1,1,0,2,0,1,3,3,2,2,1.93285,2,0.25,0.69,0.06,0.82,0.9,0.5,0.48,0.36,0.64,0.7,1.0,0.29,0.12,0.97,0.32,0.62,0.19,0.0,0.32,0.57,0.37,1.0,0.29,0.0
zd9alcs3qq,27.229699999999998,14/09/2024,13:50:34,chrome,False,1920.0,1073.0,Russian,yana1,31.0,Male,швеция,Russian,8.712216666666666,1,0,2,0,0,0,0,2,2,2,0,2,0,0,2,2,0,0,2,1,1,0,0,0,0,0,2.683420000000795,2,0.8,0.64,0.8,0.28,0.41,0.66,0.32,0.29,0.64,0.81,0.24,0.59,0.31,0.77,0.76,0.74,0.53,0.58,0.74,0.36,0.66,0.27,0.76,0.28
dbbhtxx8gc,39.600033333333336,12/09/2024,21:24:30,chrome,False,1512.0,863.0,Russian,yana2,27.0,Male,Serbia,Russian,2.257966666666667,1,2,3,3,2,2,3,1,3,1,3,2,0,0,0,2,1,0,1,3,0,1,1,0,2,0,2.010266666666667,2,0.67,0.53,0.0,0.12,1.0,0.74,0.4,0.55,0.26,0.81,0.81,0.54,0.1,0.36,0.71,0.7,0.34,1.0,0.65,0.46,0.12,1.0,0.57,1.0
ftnc1a1ppz,22.554399999999998,12/08/2024,13:23:08,chrome,False,1536.0,730.0,Russian,yana1,36.0,Female,Russia,Russian,2.0260000000000002,2,0,1,1,0,0,2,2,2,1,1,2,1,0,0,1,0,0,1,2,1,2,1,1,2,0,1.8354933333357173,1,0.33,1.0,0.24,0.69,1.0,1.0,0.6,0.08,0.1,0.61,0.69,0.68,0.05,1.0,0.6,0.37,0.34,0.21,0.06,0.38,0.1,0.42,0.6,0.4
9xh21js8u8,37.267050000000005,07/08/2024,14:00:26,opera,False,1226.0,570.0,Russian,yana1,38.0,Male,Russia,Russian,6.89045,1,2,1,2,1,0,0,3,2,2,2,2,3,2,1,1,3,1,2,2,1,3,2,1,2,2,5.688878333334128,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.31,0.28,0.27,0.63
qk5u4vrmgr,29.674033333333334,06/08/2024,20:15:30,safari,False,1512.0,819.0,Russian,yana1,31.0,Female,Russia,Russian,2.764883333333333,1,2,2,2,0,1,1,2,1,1,0,1,1,0,1,2,0,2,0,2,2,2,2,0,0,2,2.310483333333333,2,0.63,0.66,0.42,0.46,0.75,0.55,0.31,0.33,0.6,0.78,0.78,0.58,0.22,0.63,0.64,0.42,0.6,0.2,0.22,0.38,0.32,0.6,0.64,0.65
gujx6845c8,22.33655,30/07/2024,03:19:12,firefox,False,1536.0,730.0,Russian,yana1,46.0,Female,Russia,Russian,1.4628333333333332,2,0,1,3,3,1,3,3,3,3,1,2,1,3,0,3,2,2,2,0,1,2,1,0,0,1,2.1073166666666667,1,0.0,0.54,0.0,0.71,0.71,1.0,0.51,0.48,0.23,0.23,0.77,0.48,0.12,0.41,0.0,1.0,0.0,0.0,0.52,0.32,0.0,0.6,0.0,0.0
tgp13kv9tr,17.73165,21/07/2024,18:16:36,safari,False,1626.0,843.0,Russian,yana1,,,,,1.2076500000000001,2,2,2,2,1,1,1,1,2,2,1,1,2,1,0,2,1,1,1,1,1,2,1,0,1,1,2.253816666666667,1,0.26,0.71,0.59,0.72,0.31,0.69,0.32,0.64,0.36,0.66,0.4,0.39,0.58,0.7,0.35,0.3,0.62,0.34,0.65,0.7,0.38,0.52,0.64,0.39
wdxqljw4oj,559.6899666666667,21/07/2024,15:49:23,chrome,False,1920.0,953.0,Russian,yana1,29.0,Female,Russia,Russian,2.2992500000000002,2,0,1,1,2,1,1,2,3,2,3,2,1,0,0,2,0,1,1,3,0,2,1,3,2,1,1.7007616666674614,1,0.77,0.77,0.21,0.93,0.98,0.48,0.1,0.48,0.19,0.57,0.75,0.61,0.0,0.6,0.26,0.89,0.05,0.56,0.07,0.13,0.2,0.59,0.94,0.53
mefehhvjwq,22.797233333333335,20/07/2024,14:13:24,edge-chromium,False,1872.0,932.0,Russian,yana2,22.0,Female,Russia,German,2.4345,1,1,1,2,1,0,0,2,1,1,2,2,2,1,1,1,1,2,1,3,2,2,2,3,2,2,1.4150399999996026,2,0.61,0.66,0.29,0.34,0.9,0.88,0.27,0.56,0.37,0.68,0.67,0.84,0.83,0.81,0.81,0.54,0.67,0.37,0.3,0.66,0.28,0.38,0.72,0.63
0sq6lofj2q,25.090116666666667,20/07/2024,09:15:01,chrome,False,1920.0,1065.0,Russian,yana1,36.0,Male,Germany,European,2.4434666666666667,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,2,1,0,0,2,4.1651766666670635,1,0.25,0.82,0.63,0.12,0.85,0.62,0.77,0.61,0.16,0.52,0.44,0.43,0.26,0.76,0.71,0.31,0.6,0.0,0.29,0.41,0.16,0.0,0.41,0.0
su0678vnyn,23.999950000000002,19/07/2024,15:44:41,safari,False,1280.0,720.0,Russian,yana1,34.0,Male,Georgia,Russian,2.9568333333333334,1,1,0,1,2,0,0,1,2,2,1,2,0,1,0,2,0,2,0,2,2,2,0,3,0,0,1.6861666666666686,2,0.81,0.67,0.94,0.65,0.66,0.69,0.21,0.63,0.84,0.7,0.75,0.67,0.15,0.36,0.38,0.4,0.71,0.56,0.16,0.19,0.78,0.93,0.99,0.7
s9q5m734wo,25.127299999999998,19/07/2024,09:34:07,chrome,False,1920.0,963.0,Russian,yana1,32.0,Male,Russia,Russian,3.172566666666667,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,3,0,0,0,3,2.2368333333333337,1,1.0,0.84,0.27,0.0,1.0,0.0,0.0,0.0,0.19,0.18,0.74,0.25,1.0,0.33,0.8,0.0,0.77,0.0,0.0,0.0,0.24,1.0,1.0,0.0
6d1axwbspy,29.349,18/07/2024,23:37:12,chrome,False,1440.0,791.0,Russian,yana1,43.0,Male,Russia,Russian,4.3616166666666665,2,2,2,2,0,2,2,1,3,0,2,2,3,2,0,2,1,2,0,2,1,2,2,2,1,1,3.130051666667064,1,0.15,0.87,0.28,0.35,0.82,0.6,0.59,0.56,0.33,0.85,0.85,0.45,0.76,0.9,0.43,0.69,0.55,0.6,0.82,0.83,0.41,0.52,0.45,0.54
kyuwhgs0da,26.412950000000002,18/07/2024,10:11:02,chrome,False,1440.0,745.0,Russian,yana1,40.0,Male,Latvia,Jew,3.6622166666666667,2,2,1,0,0,2,3,3,3,2,1,2,2,2,1,2,0,1,1,2,0,2,0,2,0,0,2.7730333333333332,1,0.0,1.0,0.0,0.61,0.7,0.23,0.37,0.3,0.23,0.8,0.82,0.21,0.27,0.64,0.29,0.71,0.3,0.0,0.36,0.27,0.0,0.77,0.75,0.2
wjple2odo8,28.914466666666666,18/07/2024,10:27:24,chrome,False,1920.0,953.0,Russian,yana1,37.0,Male,Russia,Russian,3.397,2,0,2,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,2,2.4449816666667656,1,0.77,0.79,0.79,0.0,1.0,0.45,0.63,0.41,0.08,1.0,0.0,0.47,1.0,0.54,1.0,0.23,0.23,0.46,0.7,0.53,0.37,0.0,1.0,0.41
d0cxgvs20l,102.31673333333333,18/07/2024,08:02:10,chrome,False,1280.0,593.0,Russian,yana1,35.0,Male,Russia,Russian,6.84985,1,0,0,1,0,1,1,2,3,3,1,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,3.3330966666666177,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.58,1.0,0.59,1.0,0.0,1.0,0.86,1.0,0.26,0.44,0.43,0.0,0.46,0.8,0.21,0.0
bsvxfugrwp,29.938699999999997,16/07/2024,17:43:32,chrome,False,1280.0,665.0,Russian,yana1,29.0,Female,Czech Republic,Russian,3.709416666666667,2,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,1,0,2,2,1,2,2,1,0,0,3.0078466666658716,1,0.63,0.89,0.53,0.12,0.93,0.59,0.27,0.09,0.07,0.86,0.79,0.6,0.93,0.72,0.79,0.28,0.1,0.87,0.21,0.13,0.13,0.59,0.59,0.87
524xnvb3s1,26.032899999999998,16/07/2024,14:16:03,chrome,False,2560.0,1305.0,Russian,yana1,33.0,Female,Germany,Russian,2.1877333333333335,2,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,2,2,0,2,2,2,2,1,0,2,2.459881666667263,1,0.59,0.34,0.32,0.66,1.0,0.62,0.37,0.78,0.0,0.59,0.83,0.64,0.0,0.7,0.68,0.21,0.8,0.35,0.35,0.71,0.0,0.25,0.74,0.36
uksnzb50qu,26.385716666666667,15/07/2024,18:49:57,chrome,False,1536.0,738.0,Russian,yana1,60.0,Female,Germany,Jew,3.94885,2,0,0,2,2,0,1,2,2,2,3,2,0,3,0,1,3,0,2,0,1,2,0,0,2,0,3.087018333332737,1,0.0,1.0,0.89,0.02,1.0,1.0,0.91,0.12,1.0,0.88,0.18,1.0,0.0,1.0,0.08,0.94,0.16,0.93,1.0,0.93,1.0,0.13,0.87,0.94
dvmhxobjhe,42.32183333333333,15/07/2024,19:02:53,chrome,False,1243.0,542.0,Russian,yana1,51.0,Male,Russia,Russian,2.5513,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1.9953149999996027,1,0.14,0.85,0.29,0.12,0.76,0.18,0.78,0.1,0.15,0.45,0.54,0.2,0.22,0.93,0.95,0.17,0.92,0.31,0.5,0.13,0.35,0.53,0.45,0.5
ds0gcwj6hs,26.458916666666667,15/07/2024,19:44:35,chrome,False,1536.0,826.0,Russian,yana1,32.0,Male,Georgia,Russian,5.5141,2,2,0,0,0,0,2,2,2,2,2,3,0,3,0,0,2,0,0,0,1,3,1,1,0,0,4.130021666666866,1,0.75,1.0,0.26,0.26,0.42,1.0,0.48,0.0,0.0,1.0,0.23,1.0,0.48,0.77,0.2,0.53,0.0,0.64,0.3,0.06,0.0,0.46,0.46,0.57
14l82n6s4u,24.129183333333334,15/07/2024,17:45:31,chrome,False,2307.0,1168.0,Russian,yana1,27.0,Male,Germany,Russian,3.414216666666667,2,0,2,2,1,2,0,2,2,1,1,1,0,2,0,1,1,3,1,2,2,2,2,2,2,2,2.8184916666666666,1,0.6,0.35,0.2,1.0,0.53,0.78,1.0,0.74,0.12,0.22,0.68,0.74,0.51,0.79,0.69,0.34,0.23,0.42,0.66,0.5,0.2,0.4,0.62,0.65
hfywqv2uan,42.0635,15/07/2024,02:54:17,chrome,False,1920.0,945.0,Russian,yana1,40.0,Female,Russia,Russian,2.8144666666666667,1,0,0,3,2,0,0,2,2,2,1,2,0,3,0,2,1,0,1,2,0,2,1,0,2,2,1.4047516666666684,2,0.14,0.82,0.36,0.58,0.93,0.16,0.11,0.1,0.0,0.49,0.5,0.74,0.07,0.76,0.27,0.88,0.2,0.49,0.37,0.08,0.0,0.51,0.3,0.92
j7ltasaf29,19.78148333333333,14/07/2024,22:31:10,chrome,False,1920.0,919.0,Russian,yana1,34.0,Male,Russia,Russian,2.0385166666666668,2,2,2,1,3,2,2,2,2,2,1,1,1,3,2,2,2,1,1,2,1,1,2,0,2,2,1.8128833333333332,1,0.2,0.73,0.22,0.78,1.0,0.77,0.77,0.23,0.24,0.77,0.79,0.99,0.0,0.75,0.76,0.75,0.22,0.76,0.2,0.78,0.78,0.75,0.75,0.78
7zw41m7nbo,24.506383333333336,14/07/2024,18:39:20,edge-chromium,False,1379.0,639.0,Russian,yana2,32.0,Male,Italy,Ukrainian,2.2877333333333336,2,2,1,2,1,1,0,2,2,1,2,1,2,3,0,2,0,1,2,2,1,2,2,1,2,1,1.720375,1,0.86,0.85,0.33,0.66,0.62,0.84,0.66,0.23,0.14,0.63,0.69,0.85,0.27,0.72,0.61,0.66,0.38,0.64,0.33,0.33,0.34,0.72,0.92,0.59
kovc75p597,24.979,13/07/2024,14:03:21,chrome,False,1355.0,685.0,Russian,yana1,32.0,Female,Russia,Russian,2.3870333333333336,1,1,2,2,2,2,3,3,3,2,0,2,1,2,1,3,2,0,2,2,0,2,0,2,2,0,2.6352733333334326,2,0.24,1.0,0.0,0.75,1.0,0.73,0.9,0.59,0.71,0.84,0.77,0.68,1.0,0.33,1.0,1.0,0.19,0.82,0.7,0.67,1.0,0.0,0.0,0.0
74hf660xh7,38.515233333333335,13/07/2024,01:16:47,chrome,False,1512.0,857.0,Russian,yana1,37.0,Male,Russia,Russian,5.1087,1,1,1,1,1,0,1,1,1,0,2,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,3.24285,2,0.0,0.5,0.34,0.38,0.5,0.5,0.59,0.5,0.31,0.5,0.62,0.5,0.5,0.5,0.36,0.57,0.29,1.0,0.35,0.57,0.5,0.58,0.0,0.58
1ktd5jv1x5,26.61386666666667,12/07/2024,21:47:47,chrome,False,1583.0,795.0,Russian,yana1,29.0,Male,Russia,Russian,3.05685,2,2,2,0,2,3,3,1,0,0,1,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,2.35125,1,0.08,0.39,0.24,0.07,0.18,0.87,0.5,0.35,0.37,0.68,0.32,0.7,0.82,0.67,0.67,0.59,0.43,0.0,1.0,0.61,0.5,0.82,0.21,0.0
qsrfmlsecm,147.09363333333334,12/07/2024,21:37:16,chrome,False,1680.0,963.0,Russian,yana1,42.0,Female,Israel,Jew,56.24495,1,1,1,1,0,0,0,1,0,1,1,0,2,1,0,2,1,2,1,2,2,1,1,1,2,1,2.4173166666666663,2,0.6,0.98,0.33,0.62,0.24,0.74,0.32,0.28,0.02,0.7,0.67,0.64,0.74,0.94,0.65,0.56,0.36,0.61,0.32,0.67,0.63,0.36,0.32,0.26
ovkjlmy9eb,19.233533333333334,12/07/2024,22:04:49,yandexbrowser,False,1280.0,720.0,Russian,yana1,36.0,Male,Georgia,Russian,2.36965,1,2,2,1,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,2,2,3,2,1,1,2,1.728248333332936,2,0.5,0.5,0.26,0.5,0.73,0.91,0.5,0.5,0.06,0.5,0.5,0.93,0.12,0.84,0.5,0.73,0.5,0.1,0.26,0.35,0.0,0.38,0.83,0.06
jquq7eja9j,19.865866666666665,12/07/2024,18:46:36,firefox,False,1536.0,739.0,Russian,yana1,26.0,Male,Russia,Russian,1.7325666666666666,1,1,1,2,3,0,0,2,3,3,0,2,0,1,0,3,0,1,2,3,3,2,0,0,3,0,1.6764666666666665,2,0.24,0.61,0.05,0.75,0.84,0.92,0.5,0.38,0.07,0.9,0.07,1.0,0.06,0.81,0.5,1.0,0.18,0.78,0.5,0.21,0.0,0.62,0.17,0.0
y1tqzvkvfc,24.177616666666665,12/07/2024,21:02:32,chrome,False,1280.0,958.0,Russian,yana2,35.0,Male,Russia,Russian,2.024766666666667,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,2,2,1,0,1,0,2,2,2,0,2,2.753225,1,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
u8hft466ua,26.4266,12/07/2024,15:08:39,chrome,False,1536.0,695.0,Russian,yana1,37.0,Female,Russia,Tatar,1.9555666666666667,1,2,1,2,1,1,2,2,2,0,2,2,1,0,1,1,2,1,1,1,0,2,0,2,1,0,1.7520983333333318,2,0.66,0.65,0.09,0.08,0.9,0.5,0.06,0.05,0.08,0.16,0.65,0.48,0.04,0.5,0.7,0.59,0.31,0.01,0.21,0.19,0.0,0.76,0.33,0.0
sou25mjzdw,31.653033333333333,11/07/2024,23:26:37,chrome,False,1920.0,1073.0,Russian,yana1,31.0,Male,Russia,Russian,3.090116666666667,2,0,1,1,2,3,2,3,3,3,0,3,0,2,0,1,1,0,2,0,0,3,0,2,2,0,4.907566666666667,1,0.12,0.98,0.0,0.02,0.81,0.62,0.0,0.49,0.05,0.5,0.51,0.62,0.0,0.63,0.42,0.75,0.18,0.0,0.25,0.5,0.0,0.84,0.0,0.0
qjrzelgz6k,20.806383333333333,20/06/2024,01:24:06,chrome,False,1740.0,853.0,Russian,yana1,31.0,Male,Georgia,Russian,1.5806833333333332,1,2,3,3,2,3,3,1,2,3,0,2,0,0,0,3,0,0,2,2,2,1,1,0,0,1,1.261553333334128,2,0.2,0.62,0.03,0.83,0.67,0.68,0.21,0.6,0.59,0.69,0.69,0.6,0.6,0.69,0.24,0.87,0.09,0.65,0.37,0.68,0.26,0.83,0.71,0.66
7w8ocdog30,25.13505,19/06/2024,20:50:01,chrome,False,2560.0,1305.0,Russian,yana1,26.0,Male,Germany,Russian,4.74785,2,2,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,2.4487,1,0.35,0.6,0.17,0.37,0.72,0.76,0.5,0.07,0.22,0.84,0.26,0.69,0.17,0.58,0.8,0.21,0.56,0.0,0.64,0.09,0.21,0.04,0.71,0.0
z3yqpr6gml,29.7683,19/06/2024,21:32:58,chrome,False,1875.0,967.0,Russian,yana1,35.0,Male,Ukraine,Ukrainian,1.9674,2,0,0,1,,0,1,2,0,0,0,1,0,2,1,0,2,2,1,2,2,2,0,0,0,0,2.765983333333333,1,0.17,0.36,0.27,0.0,0.78,0.79,0.76,0.85,0.09,0.81,0.15,0.62,0.0,0.13,1.0,0.18,0.78,0.6,0.33,0.67,0.32,0.08,0.28,0.58
